RC_costbased,RC_markup,R_cong,M_markup,MWP_PEA,Gamma_costbased,Gamma_markup,welfare_loss_P1,date,n_solved,R_cong_obs,curtailed_MWh,bin,neso
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-25,48,41169.45052595478,382.19436687352265,0,704201.8622331672
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-31,48,0.0,0.0,0,78677.23716691442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-21,48,0.0,0.0,0,464714.51249446254
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-01,48,165653.01936979167,1419.6546875000001,0,425117.2882943462
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-20,48,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-13,48,783540.7219722227,4889.273611111109,0,729726.5347863857
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-03,48,368651.7702320694,3027.4138888888874,1,1439072.5262411344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-28,48,211390.7560416666,2599.801666666672,1,1598821.4571993635
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-17,48,357978.90562413505,3330.7897569444444,1,1249180.17268096
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-04,48,0.0,0.0,1,1087204.7886763103
134578.76999999996,151280.51999999996,134578.76999999993,16701.75,0.0,134578.76999999996,151280.51999999996,0.0,2025-03-07,48,898176.2038868035,11173.662384259234,1,1933424.706175524
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-22,48,876833.137530732,8328.919965277779,1,2310662.5504069193
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-28,48,2571946.8331737346,18097.560416666667,2,4879344.107729118
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-26,48,260722.35467187493,2533.5769097222214,2,3757997.758134862
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-16,48,18358.694945312505,102.70078124999996,2,4380117.079918115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-06,48,0.0,0.0,2,3006916.9609923437
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-10,48,1073657.3326617256,9392.979861111104,2,3132277.8378034434
2279111.5982000004,2633034.1776350006,2279111.5981999994,353922.57943500014,0.0,2279111.5982000004,2633034.1776350006,1.1641532182693481e-10,2025-01-26,48,1787376.9552122152,17993.893049399125,2,3387687.5806621155
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-04,48,4172219.586017842,37362.548481826234,3,6195122.610197751
436475.78742617305,488429.353529025,436475.787426173,51953.56610285191,0.0,436475.78742617305,488429.353529025,0.0,2024-10-16,48,4818551.897469433,39033.87222222218,3,7175320.816204881
45444.774999999994,51087.07,45444.774999999994,5642.295000000004,0.0,45444.774999999994,51087.07,0.0,2024-11-17,48,5448596.701733237,47987.56885712175,3,7468922.53205058
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-05,48,3498232.731072917,32822.024537037105,3,5839444.37329447
678313.0613500001,757712.1063100001,678313.0613499999,79399.04496000003,0.0,678313.0613500001,757712.1063100001,0.0,2024-04-19,48,4339487.9494236065,39207.746527777854,3,7254768.821621647
1734524.2648249997,1964918.5000775,1734524.264825,230394.23525249996,0.0,1734524.2648249997,1964918.5000775,2.3283064365386963e-10,2024-12-17,48,5202882.6635408215,45379.3266493055,3,8326294.810016106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29,48,6045582.555379221,54212.316637115815,4,9097252.519923111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-27,48,13442820.017084137,100217.95511475552,4,15784039.738529284
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-22,48,8620122.888432145,70988.84768518525,4,12487949.983791469
515754.32602499984,589496.4057749996,515754.32602499984,73742.07974999995,0.0,515754.32602499984,589496.4057749996,0.0,2025-03-27,48,6152525.7857031245,60234.96440972231,4,10047954.23430408
6269094.707174998,7029484.380997501,6269094.707174998,760389.6738225,0.0,6269094.707174998,7029484.380997501,8.149072527885437e-10,2024-12-22,48,12696618.201205803,104734.20416666701,4,16545716.794039387
1447706.2837500002,1615439.2837500002,1447706.2837500002,167733.0,0.0,1447706.2837500002,1615439.2837500002,0.0,2024-08-09,48,8713813.935198808,69522.70321180562,4,9839070.698360968
